"julia_version_prefix","client_type","date","request_addrs","request_count","successes","cache_misses","body_bytes_sent","request_time"
"1.10.0","ci","2023-12-19",3,5931,3763,3,3181251539,38.115
"1.10.0","ci","2023-12-25",7,11679,7404,1,6280640011,66.869
"1.10.0","ci","2023-12-26",603,61185,58056,225,57321575743,401.201
"1.10.0","ci","2023-12-27",2776,689523,653974,2627,693698574242,4835.162
"1.10.0","ci","2023-12-28",2847,773834,729427,2980,820278877786,4828.626
"1.10.0","ci","2023-12-29",2819,527491,496380,1153,506806708446,5139.956
"1.10.0","ci","2023-12-30",2350,542832,515642,61,556282927340,6862.286
"1.10.0","ci","2023-12-31",2447,476629,450521,53,439209412161,4792.343
"1.10.0","ci","2024-01-01",2490,479822,452713,57,484464978700,6632.04
"1.10.0","ci","2024-01-02",3123,641460,608626,105,622399746950,7541.784
"1.10.0","ci","2024-01-03",3321,804702,764076,126,789814690411,10278.699
"1.10.0","ci","2024-01-04",3384,960117,913904,88,966631694205,13029.99
"1.10.0","ci","2024-01-05",3220,870243,829486,143,800652650484,11294.256
"1.10.0","ci","2024-01-06",2563,722261,685367,88,613992985869,7751.678
"1.10.0","ci","2024-01-07",2636,663064,627742,77,586161162352,6984.726
"1.10.0","ci","2024-01-08",3399,900215,857674,326,802805113734,10815.783
"1.10.0","ci","2024-01-09",3852,766022,724025,1006,776917597658,10541.056
"1.10.0","ci","2024-01-10",4694,983413,927076,197,1027774970768,14526.276
"1.10.0","ci","2024-01-11",6680,1129234,1055651,72,1153128059423,16565.591
"1.10.0","ci","2024-01-12",6350,1053830,981465,61,1000968183549,12244.215
"1.10.0","ci","2024-01-13",5307,738624,675998,66,507638647701,5502.658
"1.10.0","ci","2024-01-14",5223,752955,693215,53,536933366969,5904.214
"1.10.0","ci","2024-01-15",5905,942706,874332,91,760823076604,7578.213
"1.10.0","ci","2024-01-16",6404,1092877,1017228,87,932958240221,10065.894
"1.10.0","ci","2024-01-17",6499,1138594,1063855,149,1089337118378,12926.896
"1.10.0","ci","2024-01-18",7060,1106228,1032152,100,988013762496,11391.074
"1.10.0","ci","2024-01-19",6860,1187830,1112349,102,1062760991291,12528.232
"1.10.0","ci","2024-01-20",5773,686181,628852,75,501154659787,9598.879
"1.10.0","ci","2024-01-21",5945,780761,719815,30,540940718965,4939.937
"1.10.0","ci","2024-01-22",6599,1402760,1307020,129,1254814781759,12697.657
"1.10.0","ci","2024-01-23",7588,1169368,1087840,92,993155633580,10018.503
"1.10.0","ci","2024-01-24",7388,1213506,1126443,73,1176849897841,15729.819
"1.10.0","ci","2024-01-25",7571,1312120,1230497,80,1197759380945,15361.161
"1.10.0","ci","2024-01-26",7233,1260466,1176431,84,1151603474907,12865.293
"1.10.0","ci","2024-01-27",6108,842457,772389,42,668126032496,6682.234
"1.10.0","ci","2024-01-28",5734,691826,633149,62,445228203069,4649.005
"1.10.0","ci","2024-01-29",7406,1338796,1244103,90,1275639021177,16438.33
"1.10.0","ci","2024-01-30",7056,1503166,1417020,108,1259256208442,18150.562
"1.10.0","ci","2024-01-31",7236,1412628,1328674,91,1294732313554,13706.454
"1.10.0","ci","2024-02-01",7270,1596067,1506835,148,1546729571255,16929.525
"1.10.0","ci","2024-02-02",7202,1641766,1550305,100,1602850609166,16524.414
"1.10.0","ci","2024-02-03",6000,961038,896337,35,775566042159,8627.443
"1.10.0","ci","2024-02-04",5794,857680,795926,45,640053721638,6152.329
"1.10.0","ci","2024-02-05",7431,1901326,1789649,110,1893105248411,19689.067
"1.10.0","ci","2024-02-06",7355,1404397,1313477,37,1355532723102,12922.402
"1.10.0","ci","2024-02-07",7155,1297994,1216712,80,1234706794110,13894.683
